Model,Variant,Dimension,Mean,HDI_lower,HDI_upper,N
DeepSeek V3.2,baseline,cognitive_forcing,0.06,0.01,0.15,100
DeepSeek V3.2,baseline,contrastive_explanation,1.54,1.4,1.69,100
DeepSeek V3.2,baseline,skill_preservation,1.63,1.49,1.76,100
DeepSeek V3.2,baseline,draft_annotation,0.12,0.06,0.22,100
DeepSeek V3.2,baseline,uncertainty_transparency,0.99,0.84,1.14,100
DeepSeek V3.2,baseline,complementarity,0.31,0.18,0.48,100
DeepSeek V3.2,baseline,anti_sycophancy,1.51,1.26,1.75,100
DeepSeek V3.2,baseline,metacognitive_calibration,1.07,0.89,1.25,100
DeepSeek V3.2,baseline,appropriate_reliance,0.56,0.39,0.75,100
DeepSeek V3.2,baseline,ethical_surfacing,1.97,1.76,2.17,100
DeepSeek V3.2,with_system_prompt,cognitive_forcing,2.18,2.01,2.34,100
DeepSeek V3.2,with_system_prompt,contrastive_explanation,1.9,1.67,2.12,100
DeepSeek V3.2,with_system_prompt,skill_preservation,1.77,1.51,2.02,100
DeepSeek V3.2,with_system_prompt,draft_annotation,1.47,1.21,1.73,100
DeepSeek V3.2,with_system_prompt,uncertainty_transparency,2.22,2.03,2.39,100
DeepSeek V3.2,with_system_prompt,complementarity,2.37,2.19,2.53,100
DeepSeek V3.2,with_system_prompt,anti_sycophancy,2.92,2.83,2.98,100
DeepSeek V3.2,with_system_prompt,metacognitive_calibration,1.53,1.31,1.75,100
DeepSeek V3.2,with_system_prompt,appropriate_reliance,0.76,0.56,0.98,100
DeepSeek V3.2,with_system_prompt,ethical_surfacing,2.86,2.74,2.95,100
Devstral-2 123B,baseline,cognitive_forcing,0.06,0.01,0.15,100
Devstral-2 123B,baseline,contrastive_explanation,1.33,1.21,1.46,100
Devstral-2 123B,baseline,skill_preservation,1.71,1.61,1.8,99
Devstral-2 123B,baseline,draft_annotation,0.41,0.29,0.55,100
Devstral-2 123B,baseline,uncertainty_transparency,0.89,0.76,1.03,100
